"state","GEOID","cty","county","year","population","Abbreviation","Region","Division"
"Alabama","01067","Henry County, Alabama","Henry County","pop_1930",22820,"AL","South","East South Central"
"Alabama","01025","Clarke County, Alabama","Clarke County","pop_2000",27867,"AL","South","East South Central"
"Alabama","01037","Coosa County, Alabama","Coosa County","pop_1920",14839,"AL","South","East South Central"
"Alabama","01055","Etowah County, Alabama","Etowah County","pop_2010",104430,"AL","South","East South Central"
"Alabama","01107","Pickens County, Alabama","Pickens County","pop_1940",27671,"AL","South","East South Central"
"Alabama","01111","Randolph County, Alabama","Randolph County","pop_1920",27064,"AL","South","East South Central"
"Alabama","01009","Blount County, Alabama","Blount County","pop_2020",59134,"AL","South","East South Central"
"Alabama","01053","Escambia County, Alabama","Escambia County","pop_1980",38440,"AL","South","East South Central"
"Alabama","01001","Autauga County, Alabama","Autauga County","pop_2020",58805,"AL","South","East South Central"
"Alabama","01019","Cherokee County, Alabama","Cherokee County","pop_2010",25989,"AL","South","East South Central"
"Alabama","01071","Jackson County, Alabama","Jackson County","pop_2000",53926,"AL","South","East South Central"
"Alabama","01127","Walker County, Alabama","Walker County","pop_2000",70713,"AL","South","East South Central"
"Alabama","01043","Cullman County, Alabama","Cullman County","pop_2020",87866,"AL","South","East South Central"
"Alabama","01109","Pike County, Alabama","Pike County","pop_2020",33009,"AL","South","East South Central"
"Alabama","01023","Choctaw County, Alabama","Choctaw County","pop_1920",20753,"AL","South","East South Central"
"Alabama","01091","Marengo County, Alabama","Marengo County","pop_1930",36426,"AL","South","East South Central"
"Alabama","01059","Franklin County, Alabama","Franklin County","pop_2020",32113,"AL","South","East South Central"
"Alabama","01125","Tuscaloosa County, Alabama","Tuscaloosa County","pop_2020",227036,"AL","South","East South Central"
"Alabama","01051","Elmore County, Alabama","Elmore County","pop_2020",87977,"AL","South","East South Central"
"Alabama","01099","Monroe County, Alabama","Monroe County","pop_1930",30070,"AL","South","East South Central"
"Alabama","01131","Wilcox County, Alabama","Wilcox County","pop_1920",31080,"AL","South","East South Central"
"Alabama","01005","Barbour County, Alabama","Barbour County","pop_1940",32722,"AL","South","East South Central"
"Alabama","01123","Tallapoosa County, Alabama","Tallapoosa County","pop_2010",41616,"AL","South","East South Central"
"Alabama","01093","Marion County, Alabama","Marion County","pop_2000",31214,"AL","South","East South Central"
"Alabama","01079","Lawrence County, Alabama","Lawrence County","pop_2000",34803,"AL","South","East South Central"
"Alabama","01045","Dale County, Alabama","Dale County","pop_1970",52938,"AL","South","East South Central"
"Alabama","01077","Lauderdale County, Alabama","Lauderdale County","pop_2020",93564,"AL","South","East South Central"
"Alabama","01083","Limestone County, Alabama","Limestone County","pop_2020",103570,"AL","South","East South Central"
"Alabama","01121","Talladega County, Alabama","Talladega County","pop_2010",82291,"AL","South","East South Central"
"Alabama","01103","Morgan County, Alabama","Morgan County","pop_2020",123421,"AL","South","East South Central"
"Alabama","01011","Bullock County, Alabama","Bullock County","pop_1920",25333,"AL","South","East South Central"
"Alabama","01027","Clay County, Alabama","Clay County","pop_1920",22645,"AL","South","East South Central"
"Alabama","01129","Washington County, Alabama","Washington County","pop_2000",18097,"AL","South","East South Central"
"Alabama","01095","Marshall County, Alabama","Marshall County","pop_2020",97612,"AL","South","East South Central"
"Alabama","01013","Butler County, Alabama","Butler County","pop_1940",32447,"AL","South","East South Central"
"Alabama","01007","Bibb County, Alabama","Bibb County","pop_1920",23144,"AL","South","East South Central"
"Alabama","01035","Conecuh County, Alabama","Conecuh County","pop_1940",25489,"AL","South","East South Central"
"Alabama","01065","Hale County, Alabama","Hale County","pop_1930",26265,"AL","South","East South Central"
"Alabama","01115","St. Clair County, Alabama","St. Clair County","pop_2020",91103,"AL","South","East South Central"
"Alabama","01049","DeKalb County, Alabama","DeKalb County","pop_2020",71608,"AL","South","East South Central"
"Alabama","01117","Shelby County, Alabama","Shelby County","pop_2020",223024,"AL","South","East South Central"
"Alabama","01015","Calhoun County, Alabama","Calhoun County","pop_1980",119761,"AL","South","East South Central"
"Alabama","01119","Sumter County, Alabama","Sumter County","pop_1940",27321,"AL","South","East South Central"
"Alabama","01089","Madison County, Alabama","Madison County","pop_2020",388153,"AL","South","East South Central"
"Alabama","01087","Macon County, Alabama","Macon County","pop_1950",30561,"AL","South","East South Central"
"Alabama","01031","Coffee County, Alabama","Coffee County","pop_2020",53465,"AL","South","East South Central"
"Alabama","01101","Montgomery County, Alabama","Montgomery County","pop_2010",229363,"AL","South","East South Central"
"Alabama","01057","Fayette County, Alabama","Fayette County","pop_1940",21651,"AL","South","East South Central"
"Alabama","01061","Geneva County, Alabama","Geneva County","pop_1930",30104,"AL","South","East South Central"
"Alabama","01073","Jefferson County, Alabama","Jefferson County","pop_2020",674721,"AL","South","East South Central"
"Alabama","01041","Crenshaw County, Alabama","Crenshaw County","pop_1930",23656,"AL","South","East South Central"
"Alabama","01133","Winston County, Alabama","Winston County","pop_2000",24843,"AL","South","East South Central"
"Alabama","01033","Colbert County, Alabama","Colbert County","pop_2020",57227,"AL","South","East South Central"
"Alabama","01075","Lamar County, Alabama","Lamar County","pop_1940",19708,"AL","South","East South Central"
"Alabama","01113","Russell County, Alabama","Russell County","pop_2020",59183,"AL","South","East South Central"
"Alabama","01017","Chambers County, Alabama","Chambers County","pop_1940",42146,"AL","South","East South Central"
"Alabama","01081","Lee County, Alabama","Lee County","pop_2020",174241,"AL","South","East South Central"
"Alabama","01039","Covington County, Alabama","Covington County","pop_1940",42417,"AL","South","East South Central"
"Alabama","01085","Lowndes County, Alabama","Lowndes County","pop_1920",25406,"AL","South","East South Central"
"Alabama","01063","Greene County, Alabama","Greene County","pop_1930",19745,"AL","South","East South Central"
"Alabama","01021","Chilton County, Alabama","Chilton County","pop_2020",45014,"AL","South","East South Central"
"Alabama","01047","Dallas County, Alabama","Dallas County","pop_1960",56667,"AL","South","East South Central"
"Alabama","01069","Houston County, Alabama","Houston County","pop_2020",107202,"AL","South","East South Central"
"Alabama","01003","Baldwin County, Alabama","Baldwin County","pop_2020",231767,"AL","South","East South Central"
"Alabama","01105","Perry County, Alabama","Perry County","pop_1940",26610,"AL","South","East South Central"
"Alabama","01029","Cleburne County, Alabama","Cleburne County","pop_2020",15056,"AL","South","East South Central"
"Alabama","01097","Mobile County, Alabama","Mobile County","pop_2020",414809,"AL","South","East South Central"
"Alaska","02050","Bethel Census Area, Alaska","Bethel Census Area","pop_2020",18666,"AK","West","Pacific"
"Alaska","02185","North Slope Borough, Alaska","North Slope Borough","pop_2020",11031,"AK","West","Pacific"
"Alaska","02016","Aleutians West Census Area, Alaska","Aleutians West Census Area","pop_1990",9478,"AK","West","Pacific"
"Alaska","02164","Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough","pop_2000",1823,"AK","West","Pacific"
"Alaska","02180","Nome Census Area, Alaska","Nome Census Area","pop_2020",10046,"AK","West","Pacific"
"Alaska","02150","Kodiak Island Borough, Alaska","Kodiak Island Borough","pop_2000",13913,"AK","West","Pacific"
"Alaska","02130","Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough","pop_2000",14070,"AK","West","Pacific"
"Alaska","02240","Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area","pop_2010",7029,"AK","West","Pacific"
"Alaska","02110","Juneau City and Borough, Alaska","Juneau City and Borough","pop_2020",32255,"AK","West","Pacific"
"Alaska","02261","Valdez-Cordova Census Area, Alaska","Valdez-Cordova Census Area","pop_2000",10195,"AK","West","Pacific"
"Alaska","02060","Bristol Bay Borough, Alaska","Bristol Bay Borough","pop_1990",1410,"AK","West","Pacific"
"Alaska","02100","Haines Borough, Alaska","Haines Borough","pop_2010",2508,"AK","West","Pacific"
"Alaska","02020","Anchorage Municipality, Alaska","Anchorage Municipality","pop_2010",291826,"AK","West","Pacific"
"Alaska","02122","Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough","pop_2020",58799,"AK","West","Pacific"
"Alaska","02188","Northwest Arctic Borough, Alaska","Northwest Arctic Borough","pop_2020",7793,"AK","West","Pacific"
"Alaska","02070","Dillingham Census Area, Alaska","Dillingham Census Area","pop_2000",4922,"AK","West","Pacific"
"Alaska","02170","Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough","pop_2020",107081,"AK","West","Pacific"
"Alaska","02090","Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough","pop_2010",97581,"AK","West","Pacific"
"Alaska","02220","Sitka City and Borough, Alaska","Sitka City and Borough","pop_2010",8881,"AK","West","Pacific"
"Alaska","02270","Wade Hampton Census Area, Alaska","Wade Hampton Census Area","pop_2010",7459,"AK","West","Pacific"
"Alaska","02290","Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area","pop_1990",8478,"AK","West","Pacific"
"Alaska","02013","Aleutians East Borough, Alaska","Aleutians East Borough","pop_2020",3420,"AK","West","Pacific"
"Arizona","04007","Gila County, Arizona","Gila County","pop_2010",53597,"AZ","West","Mountain"
"Arizona","04003","Cochise County, Arizona","Cochise County","pop_2010",131346,"AZ","West","Mountain"
"Arizona","04027","Yuma County, Arizona","Yuma County","pop_2020",203881,"AZ","West","Mountain"
"Arizona","04019","Pima County, Arizona","Pima County","pop_2020",1043433,"AZ","West","Mountain"
"Arizona","04025","Yavapai County, Arizona","Yavapai County","pop_2020",236209,"AZ","West","Mountain"
"Arizona","04001","Apache County, Arizona","Apache County","pop_2010",71518,"AZ","West","Mountain"
"Arizona","04013","Maricopa County, Arizona","Maricopa County","pop_2020",4420568,"AZ","West","Mountain"
"Arizona","04011","Greenlee County, Arizona","Greenlee County","pop_1920",15362,"AZ","West","Mountain"
"Arizona","04021","Pinal County, Arizona","Pinal County","pop_2020",425264,"AZ","West","Mountain"
"Arizona","04005","Coconino County, Arizona","Coconino County","pop_2020",145101,"AZ","West","Mountain"
"Arizona","04023","Santa Cruz County, Arizona","Santa Cruz County","pop_2020",47669,"AZ","West","Mountain"
"Arizona","04015","Mohave County, Arizona","Mohave County","pop_2020",213267,"AZ","West","Mountain"
"Arizona","04009","Graham County, Arizona","Graham County","pop_2020",38533,"AZ","West","Mountain"
"Arizona","04012","La Paz County, Arizona","La Paz County","pop_2010",20489,"AZ","West","Mountain"
"Arizona","04017","Navajo County, Arizona","Navajo County","pop_2010",107449,"AZ","West","Mountain"
"Arkansas","05091","Miller County, Arkansas","Miller County","pop_2010",43462,"AR","South","West South Central"
"Arkansas","05129","Searcy County, Arkansas","Searcy County","pop_1920",14590,"AR","South","West South Central"
"Arkansas","05149","Yell County, Arkansas","Yell County","pop_1920",25655,"AR","South","West South Central"
"Arkansas","05055","Greene County, Arkansas","Greene County","pop_2020",45736,"AR","South","West South Central"
"Arkansas","05001","Arkansas County, Arkansas","Arkansas County","pop_1940",24437,"AR","South","West South Central"
"Arkansas","05125","Saline County, Arkansas","Saline County","pop_2020",123416,"AR","South","West South Central"
"Arkansas","05021","Clay County, Arkansas","Clay County","pop_1940",28386,"AR","South","West South Central"
"Arkansas","05123","St. Francis County, Arkansas","St. Francis County","pop_1950",36841,"AR","South","West South Central"
"Arkansas","05011","Bradley County, Arkansas","Bradley County","pop_1940",18097,"AR","South","West South Central"
"Arkansas","05075","Lawrence County, Arkansas","Lawrence County","pop_1940",22651,"AR","South","West South Central"
"Arkansas","05113","Polk County, Arkansas","Polk County","pop_2010",20662,"AR","South","West South Central"
"Arkansas","05095","Monroe County, Arkansas","Monroe County","pop_1920",21601,"AR","South","West South Central"
"Arkansas","05053","Grant County, Arkansas","Grant County","pop_2020",17958,"AR","South","West South Central"
"Arkansas","05007","Benton County, Arkansas","Benton County","pop_2020",284333,"AR","South","West South Central"
"Arkansas","05027","Columbia County, Arkansas","Columbia County","pop_1940",29822,"AR","South","West South Central"
"Arkansas","05061","Howard County, Arkansas","Howard County","pop_1920",18565,"AR","South","West South Central"
"Arkansas","05139","Union County, Arkansas","Union County","pop_1930",55800,"AR","South","West South Central"
"Arkansas","05083","Logan County, Arkansas","Logan County","pop_1940",25967,"AR","South","West South Central"
"Arkansas","05141","Van Buren County, Arkansas","Van Buren County","pop_2010",17295,"AR","South","West South Central"
"Arkansas","05013","Calhoun County, Arkansas","Calhoun County","pop_1920",11807,"AR","South","West South Central"
"Arkansas","05019","Clark County, Arkansas","Clark County","pop_1920",25632,"AR","South","West South Central"
"Arkansas","05049","Fulton County, Arkansas","Fulton County","pop_2010",12245,"AR","South","West South Central"
"Arkansas","05025","Cleveland County, Arkansas","Cleveland County","pop_1930",12744,"AR","South","West South Central"
"Arkansas","05023","Cleburne County, Arkansas","Cleburne County","pop_2010",25970,"AR","South","West South Central"
"Arkansas","05047","Franklin County, Arkansas","Franklin County","pop_1920",19364,"AR","South","West South Central"
"Arkansas","05005","Baxter County, Arkansas","Baxter County","pop_2020",41627,"AR","South","West South Central"
"Arkansas","05119","Pulaski County, Arkansas","Pulaski County","pop_2020",399125,"AR","South","West South Central"
"Arkansas","05035","Crittenden County, Arkansas","Crittenden County","pop_2010",50902,"AR","South","West South Central"
"Arkansas","05029","Conway County, Arkansas","Conway County","pop_1920",22578,"AR","South","West South Central"
"Arkansas","05121","Randolph County, Arkansas","Randolph County","pop_2020",18571,"AR","South","West South Central"
"Arkansas","05105","Perry County, Arkansas","Perry County","pop_2010",10445,"AR","South","West South Central"
"Arkansas","05045","Faulkner County, Arkansas","Faulkner County","pop_2020",123498,"AR","South","West South Central"
"Arkansas","05037","Cross County, Arkansas","Cross County","pop_1940",26046,"AR","South","West South Central"
"Arkansas","05057","Hempstead County, Arkansas","Hempstead County","pop_1940",32770,"AR","South","West South Central"
"Arkansas","05031","Craighead County, Arkansas","Craighead County","pop_2020",111231,"AR","South","West South Central"
"Arkansas","05097","Montgomery County, Arkansas","Montgomery County","pop_1920",11112,"AR","South","West South Central"
"Arkansas","05009","Boone County, Arkansas","Boone County","pop_2020",37373,"AR","South","West South Central"
"Arkansas","05135","Sharp County, Arkansas","Sharp County","pop_2020",17271,"AR","South","West South Central"
"Arkansas","05103","Ouachita County, Arkansas","Ouachita County","pop_1950",33051,"AR","South","West South Central"
"Arkansas","05143","Washington County, Arkansas","Washington County","pop_2020",245871,"AR","South","West South Central"
"Arkansas","05039","Dallas County, Arkansas","Dallas County","pop_1930",14671,"AR","South","West South Central"
"Arkansas","05073","Lafayette County, Arkansas","Lafayette County","pop_1930",16934,"AR","South","West South Central"
"Arkansas","05099","Nevada County, Arkansas","Nevada County","pop_1920",21934,"AR","South","West South Central"
"Arkansas","05101","Newton County, Arkansas","Newton County","pop_1920",11199,"AR","South","West South Central"
"Arkansas","05107","Phillips County, Arkansas","Phillips County","pop_1950",46254,"AR","South","West South Central"
"Arkansas","05051","Garland County, Arkansas","Garland County","pop_2020",100180,"AR","South","West South Central"
"Arkansas","05003","Ashley County, Arkansas","Ashley County","pop_1940",26785,"AR","South","West South Central"
"Arkansas","05147","Woodruff County, Arkansas","Woodruff County","pop_1930",22682,"AR","South","West South Central"
"Arkansas","05017","Chicot County, Arkansas","Chicot County","pop_1940",27452,"AR","South","West South Central"
"Arkansas","05033","Crawford County, Arkansas","Crawford County","pop_2010",61948,"AR","South","West South Central"
"Arkansas","05131","Sebastian County, Arkansas","Sebastian County","pop_2020",127799,"AR","South","West South Central"
"Arkansas","05081","Little River County, Arkansas","Little River County","pop_1920",16301,"AR","South","West South Central"
"Arkansas","05085","Lonoke County, Arkansas","Lonoke County","pop_2020",74015,"AR","South","West South Central"
"Arkansas","05127","Scott County, Arkansas","Scott County","pop_1940",13300,"AR","South","West South Central"
"Arkansas","05115","Pope County, Arkansas","Pope County","pop_2020",63381,"AR","South","West South Central"
"Arkansas","05071","Johnson County, Arkansas","Johnson County","pop_2020",25749,"AR","South","West South Central"
"Arkansas","05065","Izard County, Arkansas","Izard County","pop_1920",13871,"AR","South","West South Central"
"Arkansas","05145","White County, Arkansas","White County","pop_2010",77076,"AR","South","West South Central"
"Arkansas","05093","Mississippi County, Arkansas","Mississippi County","pop_1950",82375,"AR","South","West South Central"
"Arkansas","05079","Lincoln County, Arkansas","Lincoln County","pop_1930",20250,"AR","South","West South Central"
"Arkansas","05077","Lee County, Arkansas","Lee County","pop_1920",28852,"AR","South","West South Central"
"Arkansas","05109","Pike County, Arkansas","Pike County","pop_1920",12397,"AR","South","West South Central"
"Arkansas","05089","Marion County, Arkansas","Marion County","pop_2020",16826,"AR","South","West South Central"
"Arkansas","05063","Independence County, Arkansas","Independence County","pop_2020",37938,"AR","South","West South Central"
"Arkansas","05067","Jackson County, Arkansas","Jackson County","pop_1930",27943,"AR","South","West South Central"
"Arkansas","05015","Carroll County, Arkansas","Carroll County","pop_2020",28260,"AR","South","West South Central"
"Arkansas","05117","Prairie County, Arkansas","Prairie County","pop_1920",17447,"AR","South","West South Central"
"Arkansas","05111","Poinsett County, Arkansas","Poinsett County","pop_1950",39311,"AR","South","West South Central"
"Arkansas","05041","Desha County, Arkansas","Desha County","pop_1940",27160,"AR","South","West South Central"
"Arkansas","05043","Drew County, Arkansas","Drew County","pop_1920",21822,"AR","South","West South Central"
"Arkansas","05087","Madison County, Arkansas","Madison County","pop_2020",16521,"AR","South","West South Central"
"Arkansas","05059","Hot Spring County, Arkansas","Hot Spring County","pop_2020",33040,"AR","South","West South Central"
"Arkansas","05069","Jefferson County, Arkansas","Jefferson County","pop_1980",90718,"AR","South","West South Central"
"Arkansas","05137","Stone County, Arkansas","Stone County","pop_2010",12394,"AR","South","West South Central"
"Arkansas","05133","Sevier County, Arkansas","Sevier County","pop_1920",18301,"AR","South","West South Central"
"California","06037","Los Angeles County, California","Los Angeles County","pop_2020",10014009,"CA","West","Pacific"
"California","06095","Solano County, California","Solano County","pop_2020",453491,"CA","West","Pacific"
"California","06071","San Bernardino County, California","San Bernardino County","pop_2020",2181654,"CA","West","Pacific"
"California","06083","Santa Barbara County, California","Santa Barbara County","pop_2020",448229,"CA","West","Pacific"
"California","06073","San Diego County, California","San Diego County","pop_2020",3298634,"CA","West","Pacific"
"California","06059","Orange County, California","Orange County","pop_2020",3186989,"CA","West","Pacific"
"California","06053","Monterey County, California","Monterey County","pop_2020",439035,"CA","West","Pacific"
"California","06033","Lake County, California","Lake County","pop_2020",68163,"CA","West","Pacific"
"California","06081","San Mateo County, California","San Mateo County","pop_2020",764442,"CA","West","Pacific"
"California","06089","Shasta County, California","Shasta County","pop_2020",182155,"CA","West","Pacific"
"California","06065","Riverside County, California","Riverside County","pop_2020",2418185,"CA","West","Pacific"
"California","06047","Merced County, California","Merced County","pop_2020",281202,"CA","West","Pacific"
"California","06067","Sacramento County, California","Sacramento County","pop_2020",1585055,"CA","West","Pacific"
"California","06011","Colusa County, California","Colusa County","pop_2020",21839,"CA","West","Pacific"
"California","06025","Imperial County, California","Imperial County","pop_2020",179702,"CA","West","Pacific"
"California","06063","Plumas County, California","Plumas County","pop_2000",20824,"CA","West","Pacific"
"California","06101","Sutter County, California","Sutter County","pop_2020",99633,"CA","West","Pacific"
"California","06005","Amador County, California","Amador County","pop_2020",40474,"CA","West","Pacific"
"California","06049","Modoc County, California","Modoc County","pop_2010",9686,"CA","West","Pacific"
"California","06061","Placer County, California","Placer County","pop_2020",404739,"CA","West","Pacific"
"California","06085","Santa Clara County, California","Santa Clara County","pop_2020",1936259,"CA","West","Pacific"
"California","06087","Santa Cruz County, California","Santa Cruz County","pop_2020",270861,"CA","West","Pacific"
"California","06001","Alameda County, California","Alameda County","pop_2020",1682353,"CA","West","Pacific"
"California","06009","Calaveras County, California","Calaveras County","pop_2010",45578,"CA","West","Pacific"
"California","06029","Kern County, California","Kern County","pop_2020",909235,"CA","West","Pacific"
"California","06111","Ventura County, California","Ventura County","pop_2020",843843,"CA","West","Pacific"
"California","06007","Butte County, California","Butte County","pop_2010",220000,"CA","West","Pacific"
"California","06097","Sonoma County, California","Sonoma County","pop_2020",488863,"CA","West","Pacific"
"California","06057","Nevada County, California","Nevada County","pop_2020",102241,"CA","West","Pacific"
"California","06041","Marin County, California","Marin County","pop_2020",262321,"CA","West","Pacific"
"California","06075","San Francisco County, California","San Francisco County","pop_2020",873965,"CA","West","Pacific"
"California","06043","Mariposa County, California","Mariposa County","pop_2010",18251,"CA","West","Pacific"
"California","06031","Kings County, California","Kings County","pop_2010",152982,"CA","West","Pacific"
"California","06107","Tulare County, California","Tulare County","pop_2020",473117,"CA","West","Pacific"
"California","06039","Madera County, California","Madera County","pop_2020",156255,"CA","West","Pacific"
"California","06051","Mono County, California","Mono County","pop_2010",14202,"CA","West","Pacific"
"California","06019","Fresno County, California","Fresno County","pop_2020",1008654,"CA","West","Pacific"
"California","06013","Contra Costa County, California","Contra Costa County","pop_2020",1165927,"CA","West","Pacific"
"California","06079","San Luis Obispo County, California","San Luis Obispo County","pop_2020",282424,"CA","West","Pacific"
"California","06091","Sierra County, California","Sierra County","pop_2000",3555,"CA","West","Pacific"
"California","06023","Humboldt County, California","Humboldt County","pop_2020",136463,"CA","West","Pacific"
"California","06105","Trinity County, California","Trinity County","pop_2020",16112,"CA","West","Pacific"
"California","06069","San Benito County, California","San Benito County","pop_2020",64209,"CA","West","Pacific"
"California","06103","Tehama County, California","Tehama County","pop_2020",65829,"CA","West","Pacific"
"California","06045","Mendocino County, California","Mendocino County","pop_2020",91601,"CA","West","Pacific"
"California","06027","Inyo County, California","Inyo County","pop_2020",19016,"CA","West","Pacific"
"California","06077","San Joaquin County, California","San Joaquin County","pop_2020",779233,"CA","West","Pacific"
"California","06109","Tuolumne County, California","Tuolumne County","pop_2020",55620,"CA","West","Pacific"
"California","06035","Lassen County, California","Lassen County","pop_2010",34895,"CA","West","Pacific"
"California","06015","Del Norte County, California","Del Norte County","pop_2010",28610,"CA","West","Pacific"
"California","06093","Siskiyou County, California","Siskiyou County","pop_2010",44900,"CA","West","Pacific"
"California","06003","Alpine County, California","Alpine County","pop_2000",1208,"CA","West","Pacific"
"California","06099","Stanislaus County, California","Stanislaus County","pop_2020",552878,"CA","West","Pacific"
"California","06055","Napa County, California","Napa County","pop_2020",138019,"CA","West","Pacific"
"California","06021","Glenn County, California","Glenn County","pop_2020",28917,"CA","West","Pacific"
"California","06113","Yolo County, California","Yolo County","pop_2020",216403,"CA","West","Pacific"
"California","06017","El Dorado County, California","El Dorado County","pop_2020",191185,"CA","West","Pacific"
"California","06115","Yuba County, California","Yuba County","pop_2020",81575,"CA","West","Pacific"
"Colorado","08093","Park County, Colorado","Park County","pop_2020",17390,"CO","West","Mountain"
"Colorado","08113","San Miguel County, Colorado","San Miguel County","pop_2020",8072,"CO","West","Mountain"
"Colorado","08097","Pitkin County, Colorado","Pitkin County","pop_2020",17358,"CO","West","Mountain"
"Colorado","08099","Prowers County, Colorado","Prowers County","pop_1950",14836,"CO","West","Mountain"
"Colorado","08061","Kiowa County, Colorado","Kiowa County","pop_1930",3786,"CO","West","Mountain"
"Colorado","08109","Saguache County, Colorado","Saguache County","pop_2020",6368,"CO","West","Mountain"
"Colorado","08051","Gunnison County, Colorado","Gunnison County","pop_2020",16918,"CO","West","Mountain"
"Colorado","08117","Summit County, Colorado","Summit County","pop_2020",31055,"CO","West","Mountain"
"Colorado","08011","Bent County, Colorado","Bent County","pop_1920",9705,"CO","West","Mountain"
"Colorado","08021","Conejos County, Colorado","Conejos County","pop_1940",11648,"CO","West","Mountain"
"Colorado","08049","Grand County, Colorado","Grand County","pop_2020",15717,"CO","West","Mountain"
"Colorado","08025","Crowley County, Colorado","Crowley County","pop_1920",6383,"CO","West","Mountain"
"Colorado","08069","Larimer County, Colorado","Larimer County","pop_2020",359066,"CO","West","Mountain"
"Colorado","08005","Arapahoe County, Colorado","Arapahoe County","pop_2020",655070,"CO","West","Mountain"
"Colorado","08019","Clear Creek County, Colorado","Clear Creek County","pop_2020",9397,"CO","West","Mountain"
"Colorado","08081","Moffat County, Colorado","Moffat County","pop_2010",13795,"CO","West","Mountain"
"Colorado","08101","Pueblo County, Colorado","Pueblo County","pop_2020",168162,"CO","West","Mountain"
"Colorado","08125","Yuma County, Colorado","Yuma County","pop_1920",13897,"CO","West","Mountain"
"Colorado","08067","La Plata County, Colorado","La Plata County","pop_2020",55638,"CO","West","Mountain"
"Colorado","08095","Phillips County, Colorado","Phillips County","pop_1930",5797,"CO","West","Mountain"
"Colorado","08089","Otero County, Colorado","Otero County","pop_1950",25275,"CO","West","Mountain"
"Colorado","08047","Gilpin County, Colorado","Gilpin County","pop_2020",5808,"CO","West","Mountain"
"Colorado","08059","Jefferson County, Colorado","Jefferson County","pop_2020",582910,"CO","West","Mountain"
"Colorado","08057","Jackson County, Colorado","Jackson County","pop_1950",1976,"CO","West","Mountain"
"Colorado","08077","Mesa County, Colorado","Mesa County","pop_2020",155703,"CO","West","Mountain"
"Colorado","08029","Delta County, Colorado","Delta County","pop_2020",31196,"CO","West","Mountain"
"Colorado","08023","Costilla County, Colorado","Costilla County","pop_1940",7533,"CO","West","Mountain"
"Colorado","08071","Las Animas County, Colorado","Las Animas County","pop_1920",38975,"CO","West","Mountain"
"Colorado","08001","Adams County, Colorado","Adams County","pop_2020",519572,"CO","West","Mountain"
"Colorado","08017","Cheyenne County, Colorado","Cheyenne County","pop_1920",3746,"CO","West","Mountain"
"Colorado","08063","Kit Carson County, Colorado","Kit Carson County","pop_1930",9725,"CO","West","Mountain"
"Colorado","08037","Eagle County, Colorado","Eagle County","pop_2020",55731,"CO","West","Mountain"
"Colorado","08039","Elbert County, Colorado","Elbert County","pop_2020",26062,"CO","West","Mountain"
"Colorado","08087","Morgan County, Colorado","Morgan County","pop_2020",29111,"CO","West","Mountain"
"Colorado","08007","Archuleta County, Colorado","Archuleta County","pop_2020",13359,"CO","West","Mountain"
"Colorado","08115","Sedgwick County, Colorado","Sedgwick County","pop_1930",5580,"CO","West","Mountain"
"Colorado","08079","Mineral County, Colorado","Mineral County","pop_1940",975,"CO","West","Mountain"
"Colorado","08015","Chaffee County, Colorado","Chaffee County","pop_2020",19476,"CO","West","Mountain"
"Colorado","08123","Weld County, Colorado","Weld County","pop_2020",328981,"CO","West","Mountain"
"Colorado","08013","Boulder County, Colorado","Boulder County","pop_2020",330758,"CO","West","Mountain"
"Colorado","08111","San Juan County, Colorado","San Juan County","pop_1930",1935,"CO","West","Mountain"
"Colorado","08073","Lincoln County, Colorado","Lincoln County","pop_1920",8273,"CO","West","Mountain"
"Colorado","08085","Montrose County, Colorado","Montrose County","pop_2020",42679,"CO","West","Mountain"
"Colorado","08027","Custer County, Colorado","Custer County","pop_2020",4704,"CO","West","Mountain"
"Colorado","08121","Washington County, Colorado","Washington County","pop_1920",11208,"CO","West","Mountain"
"Colorado","08041","El Paso County, Colorado","El Paso County","pop_2020",730395,"CO","West","Mountain"
"Colorado","08009","Baca County, Colorado","Baca County","pop_1930",10570,"CO","West","Mountain"
"Colorado","08055","Huerfano County, Colorado","Huerfano County","pop_1930",17062,"CO","West","Mountain"
"Colorado","08031","Denver County, Colorado","Denver County","pop_2020",715522,"CO","West","Mountain"
"Colorado","08103","Rio Blanco County, Colorado","Rio Blanco County","pop_2010",6666,"CO","West","Mountain"
"Colorado","08065","Lake County, Colorado","Lake County","pop_1980",8830,"CO","West","Mountain"
"Colorado","08105","Rio Grande County, Colorado","Rio Grande County","pop_1950",12832,"CO","West","Mountain"
"Colorado","08043","Fremont County, Colorado","Fremont County","pop_2020",48939,"CO","West","Mountain"
"Colorado","08035","Douglas County, Colorado","Douglas County","pop_2020",357978,"CO","West","Mountain"
"Colorado","08003","Alamosa County, Colorado","Alamosa County","pop_2020",16376,"CO","West","Mountain"
"Colorado","08053","Hinsdale County, Colorado","Hinsdale County","pop_2010",843,"CO","West","Mountain"
"Colorado","08033","Dolores County, Colorado","Dolores County","pop_2020",2326,"CO","West","Mountain"
